route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::F2A0FD4C-FE66-40BD-9F08-FC20FF6133FC:,1187,P55,Bourg En Bresse - Oyonnax,,2,,006600,FFFFFF
FR:Line::F3F4B867-5380-4FDE-92BC-43C5100877C0:,1187,C3,Rennes - Montreuil-Sur-L'Ille,,2,,0749FF,FFFFFF
FR:Line::F4B0CFE6-18E1-4D06-A749-805E6E29BD07:,1187,C21,Annecy - Chambery,,2,,0749FF,FFFFFF
FR:Line::F57B7916-62C9-401B-A767-1C42EABAE2FB:,1187,K4,Le Croisic - Nantes - Rennes Via Sablé,,2,,BF005F,FFFFFF
FR:Line::F59B9C62-1417-47C0-983A-18064F9C7F28:,1187,P81,Lille Flandres - Baisieux - (Tournai),,2,,006600,FFFFFF
FR:Line::F5BCEFBC-8297-4542-9B8C-14358B248111:,1187,C73,Château-Thierry - Reims,,2,,0749FF,FFFFFF
FR:Line::F7110AB1-B407-43CF-9614-12BAB42C22DC:,1187,P57,Aurillac - Brive-La-Gaillarde,,2,,006600,FFFFFF
FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:,1187,003A,Nord Aquitaine TGV,,2,,,
FR:Line::F74CEFE4-4FF8-460D-BF41-14772B487A97:,1187,P75,Saumur - Les Sables d'Olonne,,2,,006600,FFFFFF
FR:Line::F7BB4338-AE0A-457B-A5D3-F1F80F115201:,1187,C3,Paris - Chartres,,2,,0749FF,FFFFFF
FR:Line::F81BEC34-B099-480E-BE98-D91B9C7B28D6:,1187,P63,Valenciennes - Cambrai,,2,,006600,FFFFFF
FR:Line::F91234F0-01DE-4035-A909-799A288E835E:,1187,F37,Wissembourg - Neustadt,,2,,BF005F,FFFFFF
FR:Line::F9B6D7CE-05C9-41F1-B2E7-C38E93D974F4:,1187,C5,Belfort - Delle,,2,,0749FF,FFFFFF
FR:Line::F9BD440B-D41F-4106-B2BA-B807F0635262:,1187,K11,Toulouse Matabiau - Agen,,2,,BF005F,FFFFFF
FR:Line::F9C657BA-C237-46F2-921F-357E7DC77C41:,1187,P19,Mende - Marvejols,,2,,006600,FFFFFF
FR:Line::FAC858B2-B613-40BA-9423-E079D6979A0C:,1187,C29,Lozanne - Tassin,,2,,0749FF,FFFFFF
FR:Line::FAD7386C-4ABB-426F-8352-4BDB8298A5D7:,1187,P25,Laval - Le Mans,,2,,006600,FFFFFF
FR:Line::FC26638C-4159-4D77-B2B1-81116E69954E:,1187,P9,Alençon - Château Du Loir,,2,,006600,FFFFFF
FR:Line::FD18B056-735E-4AB1-A68D-919E450004FD:,1187,K940,Troyes - Vendeuvre - Chaumont,,3,,BF005F,FFFFFF
FR:Line::FD29B74E-D951-45D1-87EB-E7B2BB2E7D6E:,1187,P73,Calais Ville - Rang-Du-Fliers - Verton - Berck,,2,,006600,FFFFFF
FR:Line::FD570866-6148-47C0-8897-467ED42F0FAE:,1187,P62,Charleville - Givet,,2,,006600,FFFFFF
FR:Line::FE540E4F-9FF6-4E25-BD0D-0D06A5695D40:,1187,P4,Orleans - Vierzon - Châteauroux - Argenton - Limoges,,2,,006600,FFFFFF
FR:Line::FF19AB6A-7290-4100-83A1-CFDFB0D626F1:,1187,K15,Paris Nord - Laon,,2,,BF005F,FFFFFF
FR:Line::FF20CA46-D0ED-49F0-95B3-59FFC379C6D0:,1187,P42,Montluçon - Vierzon,,2,,006600,FFFFFF
FR:Line::FFE3AD14-D5A0-413B-B26A-E2BC5D788DD8:,1187,P910,Sedan - La Ferté Sur Chiers,,3,,006600,FFFFFF
FR:Line::a1a8d330-b7e7-4de8-bbeb-29904a56f8ef:,5235,P21,Abbeville - Amiens - Albert,,2,,006600,FFFFFF
FR:Line::a3958d1f-3958-4906-96a2-7e3acefb8e5c:,1187,L23,23. Limoges - Saint-Yrieix - Brive,,2,,3E844C,FFFFFF
FR:Line::a45a3dd8-6a6b-4f95-9843-142901241f3b:,1187,D14,14. Poitiers - Niort - La Rochelle,,2,,C31632,FFFFFF
FR:Line::a48af794-a699-4b7b-b4ad-d2e81b314aee:,1187,L25,25. Montluçon / Felletin - Guéret - Limoges,,2,,3E844C,FFFFFF
FR:Line::a52bfb2c-cb8c-4a10-8a7f-38baed6c83ca:,1187,C12,Paris Nord - Creil,,2,,0749FF,FFFFFF
FR:Line::a5e2106e-65d0-4abe-a726-bea36c38855b:,1187,K11,Rouen - Dieppe,,2,,BF005F,FFFFFF
FR:Line::a6442ac3-6f55-438e-92b9-bc368cfaff20:,1187,C31,St André-le-Gaz - Grenoble - Chambéry,,2,,0749FF,FFFFFF
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,1187,D44,44. Bordeaux - Langon - Marmande - Agen,,2,,C31632,FFFFFF
FR:Line::aa649e90-559f-49ea-a45c-422b18b5a5be:,1187,P166,Tours-Blois-Orléans (omnibus),,2,,006600,FFFFFF
FR:Line::aae3d4d2-051a-46ec-9044-c2b69b635c88:,1187,D51,51. Bordeaux - Dax - Bayonne - Hendaye,,2,,C31632,FFFFFF
FR:Line::ac845a4d-e111-4511-bad2-14c177ba4686:,1187,P104,Orléans - Châteauroux - Saint-Sébastien,,2,,006600,FFFFFF
FR:Line::acd691b2-8fdf-4c1c-b8fb-aba900cbcd62:,1187,K903,Troyes - Châlons - Reims,,3,,BF005F,
FR:Line::ae4f84e6-d167-4688-81e6-0a200e99c944:,1187,P120,Langogne - Marvejols - St Chély d'Apcher,,3,,006600,
FR:Line::af6897db-26a3-4979-beae-ad811a22d3cd:,1187,L55,55. Pau - Oloron - Bedous,,2,,3E844C,FFFFFF
FR:Line::af758ed4-13bf-488a-bc6a-246ad17d499e:,1187,P55,METZ - BLD - EPERNAY,,2,,006600,FFFFFF
FR:Line::b1e7c34d-e7c3-4390-9a23-d7f42145f42d:,1187,E12,RE Chamonix / Chambéry,,3,,006600,FFFFFF
FR:Line::b1eda504-6395-4189-9623-6460d66f2bae:,1187,K34,Valence - Marseille,,2,,BF005F,FFFFFF
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,1187,723A,Clermont - Béziers,,2,,,
FR:Line::b417cccb-5a8b-4131-8e6b-bb6b332441e7:,1187,P11,GUINGAMP - CARHAIX,,2,,006600,FFFFFF
FR:Line::b4582599-4b54-458c-8515-eb879bd0ff33:,1187,P18,Nîmes-Avignon-Le Teil,,2,,,
FR:Line::b66ce399-d888-47de-897b-46f7f79fa5ad:,1187,P14,LE HAVRE - BREAUTE - FECAMP,,2,,006600,FFFFFF
FR:Line::b68b0e11-1e7c-4361-8a10-95a1048d5d9a:,1187,C35+,STRASBOURG - HAGUENAU,,2,,0F5B95,FFFFFF
FR:Line::b6cbce65-0bd7-4efb-bd98-0490aa50c9fc:,1187,P560,Metz - Verdun,,3,,006600,
FR:Line::b75b6dc1-68f2-4102-9997-525f7709dc77:,1187,F32,32. Ussel - Brive - Périgueux - Bordeaux,,2,,7468AC,FFFFFF
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,1187,L52,52. Bordeaux - Dax - Pau - Tarbes,,2,,3E844C,FFFFFF
FR:Line::c011fb7b-898e-44f1-b0ff-d9598672d47d:,5235,P32,Beauvais - Creil,,2,,006600,FFFFFF
FR:Line::c101999b-d6cf-4022-94ac-fa86eb79643c:,1187,C42,Ancenis - Savenay,,2,,0749FF,FFFFFF
FR:Line::c1be0e08-29ef-4c9a-9362-ffc94292f082:,5270,C7,Nantes - Châteaubriant,,0,,,
FR:Line::c21468e7-fa90-4c2a-81bc-7f07f634ab4c:,1187,K39,Caen - Le Mans - Tours,,2,,BF005F,FFFFFF
FR:Line::c3f96b2e-6783-498a-9e87-3364aecbd9b5:,1187,D17,17. Niort - Saintes - Royan,,2,,C31632,FFFFFF
FR:Line::c46956eb-b898-40c5-8eb4-4ae86d24154b:,1187,L18,18. Angoulême - Limoges,,2,,3E844C,FFFFFF
FR:Line::c4b48fab-829a-49a8-bdd6-4362865c8b1f:,1187,K12,Cars CAEN - GRANVILLE - RENNES,,3,,BF005F,FFFFFF
FR:Line::c5ed667c-7983-4bf1-bb00-f311cf78270d:,1187,C424,Car Surdon-Alençon,,3,,,
FR:Line::c88ff4b8-cd50-498e-83a6-22db8b020346:,1187,C20+,STRASBOURG-MULHOUSE,,2,,0F5B95,FFFFFF
FR:Line::c89f00c3-5bb6-4806-b9a0-44724544e64b:,1187,F43,43. Saint-Mariens - Bordeaux,,2,,7468AC,FFFFFF
FR:Line::c9a1bd25-d84e-4bab-aa97-0c648522e2da:,1187,D22,22. Limoges - Uzerche - Brive,,2,,C31632,FFFFFF
FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a:,1187,L53,53. Bayonne - Pau - Tarbes,,2,,3E844C,FFFFFF
FR:Line::caef5104-9fa8-453f-92ae-6d9b4c3b5df4:,1187,K33,Lyon Perrache - Lyon Part-Dieu - Bourg-en-Bresse,,2,,BF005F,FFFFFF
FR:Line::cda18b97-7e67-417e-907d-f29191a41042:,1187,P101,Tours - Saumur,,2,,006600,FFFFFF
FR:Line::cdd7e903-8018-41d2-92e7-4e38168a9bcf:,1187,E13,RE Evian / Chambéry,,3,,006600,FFFFFF
FR:Line::cf0d9ce8-bf4e-448e-8bf0-6c965a95c788:,1187,K16,Calais Paris,,2,,BF005F,FFFFFF
FR:Line::cfa40ffd-5af4-49b0-99a9-99857ba5f7ff:,1187,722A,Paris - Nevers - Clermont,,2,,,
FR:Line::d03091e3-31dd-4499-a71c-c61ef5399cc6:,1187,C13,CAEN - LISIEUX (périurbain),,2,,0749FF,
FR:Line::d0cae41c-a6c4-4707-89d4-80e72d814b36:,1187,C43+,NANCY - REMIREMONT,,2,,0F5B95,FFFFFF
FR:Line::d1189a05-48e1-477d-9b3c-f8ac8cb0397b:,1187,361A,Paris - Bruxelles,,2,,,
FR:Line::d1bc94ff-90a2-45c6-9617-258fb5f8f54a:,1187,K64,Mâcon - Lyon Perrache - Valence,,2,,BF005F,FFFFFF
FR:Line::d283aaa9-f32b-4b43-99a9-48ecc10044ba:,1187,L17,17. Niort - Saintes - Royan,,2,,3E844C,FFFFFF
FR:Line::d2dccdf7-2e92-4b61-9a07-598259072d02:,5235,P10,Amiens - Creil,,2,,006600,FFFFFF
FR:Line::d48b61ba-0334-4424-8a6e-a7add79dd1dd:,1187,L27,27. Ussel - Tulle - Brive,,2,,3E844C,FFFFFF
FR:Line::d5a40b80-59f3-44f8-adc2-93ee0e4d7b3a:,1187,P818,Diemeringen - Sarralbe,,3,,006600,FFFFFF
FR:Line::d7683bd3-261a-4019-a53d-9f0f7dc6f381:,1187,P838,SARREGUEMINES - BICHE,,3,,006600,FFFFFF
FR:Line::d7cd81b0-48e7-4fea-aa91-1fe47cf27535:,1187,F15,15. La Rochelle - Rochefort - Saintes - Bordeaux,,2,,7468AC,FFFFFF
FR:Line::daa8bf5f-7be6-4fbc-ad6a-0d2c30d39013:,1187,F42,42. Le Verdon - Macau - Bordeaux / Pessac,,2,,7468AC,FFFFFF
FR:Line::dac9d85e-6b33-4d12-ac55-f9c9a330c1a0:,1187,L16,16. Royan - Saintes - Angoulême,,2,,3E844C,FFFFFF
FR:Line::db59bfbb-0ca3-4f70-9dd5-5f99880e952f:,1187,E09,RE Bourg-St-Maurice / Grenoble,,3,,006600,FFFFFF
FR:Line::dd0b5971-c65c-446c-990f-7629cf07aaa0:,1187,L21,21 - Limoges- La Souterraine,,2,,3E844C,FFFFFF
FR:Line::de0cc979-c473-4b44-afa3-48079e6337c5:,1187,L33,33. Bordeaux - Bergerac - Sarlat,,2,,3E844C,FFFFFF
FR:Line::de778414-6e3d-4bc7-9d9a-6bac6aed673f:,1187,C10,YVETOT - ROUEN - ELBEUF,,2,,0749FF,FFFFFF
FR:Line::dfae3cdb-16b3-47cb-b1e0-3aae1dd0f5fe:,1187,L7,Annemasse-Vernier-Aéroport,,2,,FF3399,FFFFFF
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,1187,F44,44. Bordeaux - Langon - Marmande - Agen,,2,,7468AC,FFFFFF
FR:Line::e2062de0-0109-435e-afdd-90f43699c2ff:,1187,P23,Commentry - Montluçon - St Amand,,2,,006600,FFFFFF
FR:Line::e27d87a9-efd7-4218-bf71-50601354df88:,1187,D15,15. La Rochelle - Rochefort - Saintes - Bordeaux,,2,,C31632,FFFFFF
FR:Line::e3a8a728-7448-4d91-ab56-5d415d6969f2:,1187,L44,44. Bordeaux - Langon - Marmande - Agen,,2,,3E844C,FFFFFF
